"","query_code","fuc","fuc_2","lat","long","sheet_no","sheet_no_2","mb_note_no","mb_comment","comment_1","comment_2","comment_3","description_M","description_updated","category"
"291",291,7900014,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"Bar, brewery","Bar, brewery","FUCs simple polygon edits needed"
"292",292,7900015,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"Retail","Retail","FUCs simple polygon edits needed"
"293",293,7900016,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"294",294,7900017,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"295",295,7900018,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"Storage units","Storage units","FUCs simple polygon edits needed"
"296",296,7900019,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"vegetable delivery service","vegetable delivery service","FUCs simple polygon edits needed"
"297",297,7900020,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"298",298,7900021,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"299",299,7900022,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"300",300,7900023,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"unidentifiable","unidentifiable","FUCs simple polygon edits needed"
"301",301,7900024,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"adhesives supplier","adhesives supplier","FUCs simple polygon edits needed"
"302",302,7900025,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"Collection and delivery service for Arbo sealants products","Collection and delivery service for Arbo sealants products","FUCs simple polygon edits needed"
"303",303,7900026,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"Consultancy","Consultancy","FUCs simple polygon edits needed"
"304",304,7900027,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"305",305,7900028,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"306",306,7900029,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"307",307,7900030,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"308",308,7900031,NA,NA,NA,NA,NA,213,"To check arch extents",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"309",309,1509,NA,NA,NA,NA,NA,214,"Residential",NA,NA,NA,"Provider of cross-laminated timber","Provider of cross-laminated timber","FUCs descriptions checked"
"310",310,1508,NA,NA,NA,NA,NA,215,"Not industrial.",NA,NA,NA,"Finance","Finance","FUCs descriptions checked"
"311",311,1502,NA,NA,NA,NA,NA,216,"Office and residential.",NA,NA,NA,"Gym","Gym","FUCs descriptions checked"
"312",312,1503,NA,NA,NA,NA,NA,216,"Office and residential.",NA,NA,NA,"Vacant","Vacant","FUCs descriptions checked"
"313",313,1505,NA,NA,NA,NA,NA,216,"Office and residential.",NA,NA,NA,"Software Company","Software Company","FUCs descriptions checked"
"314",314,1506,NA,NA,NA,NA,NA,216,"Office and residential.",NA,NA,NA,"Demolished","Demolished","FUCs descriptions checked"
"315",315,1508,NA,NA,NA,NA,NA,216,"Office and residential. Answer: Confirmed in Mark's comment number 215",NA,NA,NA,"Finance","Finance","FUCs descriptions checked"
"316",316,79000018,NA,NA,NA,NA,NA,217,"Include yard","Confirmed in Mark's number 213",NA,NA,"Storage units","Storage units","FUCs simple polygon edits needed"
"317",317,1447,NA,NA,NA,NA,NA,219,"Tower Workshops are full occupancy industrial, studio and office. Needs full review.",NA,"Re-survey on site if We Made That cant help (email sent by Jane 9th Nov)",NA,"Residential","Residential","FUCs queries"
"318",318,1456,NA,NA,NA,NA,NA,219,"Tower Workshops are full occupancy industrial, studio and office. Needs full review.",NA,"Re-survey on site if We Made That cant help (email sent by Jane 9th Nov)",NA,"Demolished","Demolished","FUCs queries"
"319",319,1462,NA,NA,NA,NA,NA,219,"Tower Workshops are full occupancy industrial, studio and office. Needs full review.",NA,"Re-survey on site if We Made That cant help (email sent by Jane 9th Nov)",NA,"Demolished","Demolished","FUCs queries"
"320",320,1464,NA,NA,NA,NA,NA,219,"Tower Workshops are full occupancy industrial, studio and office. Needs full review.",NA,"Re-survey on site if We Made That cant help (email sent by Jane 9th Nov)",NA,"Vacant","Vacant","FUCs queries"
"321",321,1522,NA,NA,NA,NA,NA,220,"This is not industrial.",NA,NA,NA,"Tibetan Buddhist centre","Tibetan Buddhist centre","FUCs descriptions checked"
"322",322,1510,NA,NA,NA,NA,NA,221,"Not industrial in 2012 or since",NA,NA,NA,"vacant","vacant","FUCs descriptions checked"
"323",323,1492,NA,NA,NA,NA,NA,222,"Check for occupiers",NA,NA,NA,"Multi sensory experience design studio","Multi sensory experience design studio","FUCs descriptions checked"
"324",324,1496,NA,NA,NA,NA,NA,222,"Check for occupiers",NA,NA,NA,"vacant","vacant","FUCs descriptions checked"
"325",325,14980001,NA,NA,NA,NA,NA,222,"Check for occupiers",NA,NA,NA,"Commercial dry cleaning","Commercial dry cleaning","FUCs descriptions checked"
"326",326,14980002,NA,NA,NA,NA,NA,222,"Check for occupiers",NA,NA,NA,"Custom made furniture","Custom made furniture","FUCs descriptions checked"
"327",327,NA,NA,51.474128,-0.07752,"67",NA,223,"Vacant industrial (ex Kennedy sausage factory).","ON site survey",NA,NA,NA,NA,"lat/long new FUC required"
"328",328,7100002,NA,NA,NA,NA,NA,224,"Isn’t this Melbourne Tyres? Answer: NO 7100001 IS MELBOURNE TYRES. NEIL COULD NOT GAIN ACCESS TO THIS UNIT.","confirmed with full survey or verbal check",NA,NA,"Vacant","Inaccessible, possible fashion business","FUCs descriptions checked"
"329",329,1409,NA,NA,NA,NA,NA,225,"Include yards. Answer: YES THIS ALL JEWSONS YARD SPACE",NA,NA,NA,"Builders Merchant","Builders Merchant","FUCs simple polygon edits needed"
"330",330,7300001,NA,NA,NA,NA,NA,226,"Seems to be industrial. To check.",NA,NA,NA,"unidentifiable","Unidentifiable (industrial)","FUCs descriptions checked"
"331",331,1524,NA,NA,NA,NA,NA,227,"Fitness club, not industrial. Answer: YES THIS IS A GYM",NA,NA,NA,"Fitness Gym","Fitness Gym","FUCs descriptions checked"
"332",332,1521,NA,NA,NA,NA,NA,228,"Cinema, not industrial. Answer: YES THIS IS PICTUREHOUSE CINEMA",NA,NA,NA,"Cinema","Cinema","FUCs descriptions checked"
"333",333,15101,NA,NA,NA,NA,NA,229,"Yes, industrial. To check.","confirmed with full survey or verbal check",NA,NA,"Residential","Residential","FUCs descriptions checked"
"334",334,7800001,NA,NA,NA,NA,NA,232,"Industrial use in arches and yard",NA,NA,NA,"vacant","Vacant (Industrial)","FUCs descriptions checked"
"335",335,7800002,NA,NA,NA,NA,NA,232,"Industrial use in arches and yard",NA,NA,NA,"vacant","Vacant (Industrial)","FUCs descriptions checked"
"336",336,7800003,NA,NA,NA,NA,NA,232,"Industrial use in arches and yard",NA,NA,NA,"vacant","Vacant (Industrial)","FUCs descriptions checked"
"337",337,7800004,NA,NA,NA,NA,NA,232,"Industrial use in arches and yard",NA,NA,NA,"vacant","Vacant (Industrial)","FUCs descriptions checked"
"338",338,7800006,NA,NA,NA,NA,NA,232,"Industrial use in arches and yard",NA,NA,NA,"vacant","Vacant (Industrial)","FUCs descriptions checked"
"339",339,7800008,NA,NA,NA,NA,NA,232,"Industrial use in arches and yard",NA,NA,NA,"vacant","Vacant (Industrial)","FUCs descriptions checked"
"340",340,7800009,NA,NA,NA,NA,NA,232,"Industrial use in arches and yard",NA,NA,NA,"vacant","Vacant (Industrial)","FUCs descriptions checked"
"341",341,7800012,NA,NA,NA,NA,NA,232,"Industrial use in arches and yard","NO FUC IN M","Desktop (first) then on site survey (if desktop unSuccessful) to check info. Create new entry in ""Oct 2018_M"" with appropriate description, and draw associated polygon.",NA,NA,NA,"FUCs queries"
"342",342,7800013,NA,NA,NA,NA,NA,232,"Industrial use in arches and yard","NO FUC IN M","Desktop (first) then on site survey (if desktop unSuccessful) to check info. Create new entry in ""Oct 2018_M"" with appropriate description, and draw associated polygon.",NA,NA,NA,"FUCs queries"
"343",343,1572,NA,NA,NA,NA,NA,233,"Long ago converted to office and residential",NA,NA,NA,"Design Studio","Design Studio","FUCs descriptions checked"
"344",344,79000018,NA,NA,NA,NA,NA,234,"Industrial here includes yards. Check building extents",NA,NA,NA,"Storage units","Storage units","FUCs simple polygon edits needed"
"345",345,NA,NA,51.49646,-0.069367,"79",NA,235,"Industrial use in arches and yards.","on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"346",346,NA,NA,51.496037,-0.0684,"79",NA,236,"Industrial use in arches and yard. To check","on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"347",347,9400002,NA,NA,NA,NA,NA,237,"Arch drawing looks inaccurate Includes bigg chunk of the road, for example)",NA,NA,NA,"Food packing and distribution","Food packing and distribution","FUCs simple polygon edits needed"
"348",348,9400003,NA,NA,NA,NA,NA,237,"Arch drawing looks inaccurate Includes bigg chunk of the road, for example)",NA,NA,NA,"Wine distributor","Wine distributor","FUCs simple polygon edits needed"
"349",349,9400004,NA,NA,NA,NA,NA,237,"Arch drawing looks inaccurate Includes bigg chunk of the road, for example)",NA,NA,NA,"Wines","Wine distributor","FUCs simple polygon edits needed"
"350",350,9400005,NA,NA,NA,NA,NA,237,"Arch drawing looks inaccurate Includes bigg chunk of the road, for example)",NA,NA,NA,"Source and Roast Coffee","Source and Roast Coffee","FUCs simple polygon edits needed"
"351",351,9400006,NA,NA,NA,NA,NA,238,"Arch drawing looks inaccurate Includes bigg chunk of the road, for example)",NA,NA,NA,"Ice cream makers","Ice cream makers","FUCs simple polygon edits needed"
"352",352,1611,NA,NA,NA,NA,NA,239,"Include yard. Answer:  FUC IS POST OFFICE DELVERY OFFICE",NA,NA,NA,"Delivery Office","Delivery Office","FUCs simple polygon edits needed"
"353",353,1562,NA,NA,NA,NA,NA,240,"Industrial yards and arches. Answer: MAP NEEDS UPDATED TO SHOW RAILWAY ARCH SPACE",NA,NA,NA,"Artists studios","Artists studios","FUCs simple polygon edits needed"
"354",354,1566,NA,NA,NA,NA,NA,240,"Industrial yards and arches. Answer: MAP NEEDS UPDATED TO SHOW RAILWAY ARCH SPACE",NA,NA,NA,"Vehicle testing station","Vehicle testing station","FUCs simple polygon edits needed"
"355",355,1577,NA,NA,NA,NA,NA,240,"Industrial yards and arches. Answer: MAP NEEDS UPDATED TO SHOW RAILWAY ARCH SPACE",NA,NA,NA,"Brewery & Bar","Brewery & Bar","FUCs simple polygon edits needed"
"356",356,840000,NA,NA,NA,NA,NA,241,"Industrial yards and arches. Answer: MAP DOESN'T INCLUDE ALL ARCHES AND BUSINESSES","NO FUC IN M","Check whether railway arches have been surveyed, if not, conduct survey (desktop or on site), create FUCs and polygons",NA,NA,NA,"FUCs queries"
"357",357,1666,NA,NA,NA,NA,NA,242,"Not industrial.",NA,NA,NA,"Beauty salon","Beauty salon","FUCs descriptions checked"
"358",358,1578,NA,NA,NA,NA,NA,243,"Include access yard.",NA,NA,NA,"Vehicle repair","Vehicle repair","FUCs simple polygon edits needed"
"359",359,1589,NA,NA,NA,NA,NA,244,"To check. Is this still Anthony Gormley studio? Answer: JESS SURVEYED AS INPUT AS ALL RESI NOW, RS comment: Looks residential from google maps but no way to confirm if it is still Anthony Gormley's Studio.",NA,NA,NA,"Residential","Residential","FUCs descriptions checked"
"360",360,1667,NA,NA,NA,NA,NA,245,"Part of school, not industrial. Answer: IT IS Thomas Carlton Centre AS STATED IN EPICOLLECT ENTRY",NA,NA,NA,"Adult learning centre","Adult learning centre","FUCs descriptions checked"
"361",361,NA,NA,51.465817,-0.072774,"85",NA,246,"Quick Print. Answer: NOT SURVEYED","DESKTOP OR on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"362",362,8700005,NA,NA,NA,NA,NA,247,"What are these 3? Answer: INPUT IN EPICOLLECT AS J&B Impress (DRYCLEANERS)",NA,NA,NA,"Dry cleaners","Dry cleaners","FUCs descriptions checked"
"363",363,8700006,NA,NA,NA,NA,NA,247,"What are these 3? Answer: INPUT IN EPICOLLECT AS Brown & Co Picture Framing",NA,NA,NA,"Picture Framing","Picture Framing","FUCs descriptions checked"
"364",364,8700007,NA,NA,NA,NA,NA,247,"What are these 3? Answer: INPUT IN EPICOLLECT AS Balfes Bikes & Workshop",NA,NA,NA,"Bike Sales, Servicing & Repairs","Bike Sales, Servicing & Repairs","FUCs descriptions checked"
"365",365,8700004,NA,NA,NA,NA,NA,248,"Evans Cycle (shop, not industrial, don’t think they have workshop) To check. Answer: THEY HAVE WORKSHOP TO REPAIR AND SERVICE BIKE. THINK IT SHOULD BE INCLUDED",NA,NA,NA,"Bicycle Repairs, Servicing & Sales","Bicycle Repairs, Servicing & Sales including workshop to rear","FUCs descriptions checked"
"366",366,NA,NA,51.460991,-0.072744,"87",NA,249,"Check extent of industrial, include yard. Answer: THE BUILDING FACING ROAD IS SOUTHWARK YOUTH OFFENDING SERVICE","already checked",NA,NA,NA,NA,"lat/long new FUC required"
"367",367,8900007,NA,NA,NA,NA,NA,250,"Runcent Joinery, but perhaps they have now gone. Answer: YES RUNCENT JOINERY USED TO BE HERE BUT NO LONGER THERE. NOT ON MAP BUT FUC IN EPICOLLECT",NA,"Create new entry in ""Oct 2018_M"" with appropriate description, and draw associated polygon if needed.",NA,"Demolished","Demolished","FUCs queries"
"368",368,1552,NA,NA,NA,NA,NA,251,"Sub station. Answer: YES THIS IS A SUB STATION",NA,NA,NA,"Non industrial","Non industrial","FUCs descriptions checked"
"369",369,9000001,NA,NA,NA,NA,NA,252,"Builders yard, I think. Answer: YES STANDAGE BUILDING & REFURB FUC INPUT IN EPICOLLECT",NA,NA,NA,"Builders","Builders yard","FUCs descriptions checked"
"370",370,9100001,NA,NA,NA,NA,NA,253,"CS Marston & Partners, builders. To check.  Answer: CORRECT IT IS CS MARSTON. FUC NO. NOT ON MAP BUT INPUT INTO EPICOLLECT (Confirmed above in Mark's numbers 252)",NA,"Ensure polygon is drawn and appropriately associated with FUC",NA,"Builders","Builders","FUCs queries"
"371",371,9400002,NA,NA,NA,NA,NA,254,"Make sure to include full large industrial yard.",NA,NA,NA,"Food packing and distribution","Food packing and distribution","FUCs simple polygon edits needed"
"372",372,9400003,NA,NA,NA,NA,NA,254,"Make sure to include full large industrial yard.",NA,NA,NA,"unidentiable","unidentiable","FUCs simple polygon edits needed"
"373",373,9400004,NA,NA,NA,NA,NA,254,"Make sure to include full large industrial yard.",NA,NA,NA,"Wine distributor","Wine distributor","FUCs simple polygon edits needed"
"374",374,9400005,NA,NA,NA,NA,NA,254,"Make sure to include full large industrial yard.",NA,NA,NA,"Source and Roast Coffee","Source and Roast Coffee","FUCs simple polygon edits needed"
"375",375,9400006,NA,NA,NA,NA,NA,254,"Make sure to include full large industrial yard.",NA,NA,NA,"Ice cream makers","Ice cream makers","FUCs simple polygon edits needed"
"376",376,131,NA,NA,NA,NA,NA,255,"Pub, not industrial. Answer: NOT INDUSTRY pub as per epicollect",NA,NA,NA,"Pub","Pub","FUCs descriptions checked"
"377",377,107,NA,51.495167,-0.065815,NA,NA,256,"Sugarhouse Studios, multi-occupier workshops / studios, includes several industrial businesses. Answer: Sugarhouse studios not here but see 257; from map this site appears to be yard for 107 - please ensure yard for 107 is added from parcels layer",NA,NA,NA,NA,NA,"FUCs simple polygon edits needed"
"378",378,NA,NA,51.496137,-0.063132,"94",NA,257,"Yard is also industrial Answer: Sugarhouse studio; shared yard/workspace missed from orginal research; some companies here picked up in 'missed businesses list'","DESKTOP OR on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"379",379,9500001,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"Butchers- Wholesale of meat","Butchers- Wholesale of meat","FUCs simple polygon edits needed"
"380",380,9500002,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"Wholesale and retail of cheese, charcuterie and wine. Catering","Wholesale and retail of cheese, charcuterie and wine. Catering","FUCs simple polygon edits needed"
"381",381,9500003,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"382",382,9500004,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"Import Greek food","Import Greek food","FUCs simple polygon edits needed"
"383",383,9500005,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"Wild and forest fruits, Mainly mushrooms","Wild and forest fruits, Mainly mushrooms","FUCs simple polygon edits needed"
"384",384,9500006,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"385",385,9500007,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"386",386,9500009,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"Waste management","Waste management","FUCs simple polygon edits needed"
"387",387,9500010,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"unidentifiable","unidentifiable","FUCs simple polygon edits needed"
"388",388,9500011,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"unidentifiable","unidentifiable","FUCs simple polygon edits needed"
"389",389,9500012,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"derelict","derelict","FUCs simple polygon edits needed"
"390",390,9500013,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"derelict","derelict","FUCs simple polygon edits needed"
"391",391,9500014,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"derelict","derelict","FUCs simple polygon edits needed"
"392",392,9500015,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"derelict","derelict","FUCs simple polygon edits needed"
"393",393,9500016,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"Financial Mail Print","Financial Mail Print","FUCs simple polygon edits needed"
"394",394,9500017,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"unidentifiable","unidentifiable","FUCs simple polygon edits needed"
"395",395,9500018,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"Screen Printers/Book Makers/Printer","Screen Printers/Book Makers/Printer","FUCs simple polygon edits needed"
"396",396,9500019,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"unidentifiable","unidentifiable","FUCs simple polygon edits needed"
"397",397,9500020,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"unidentifiable","unidentifiable","FUCs simple polygon edits needed"
"398",398,9500021,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"Textile manufacturer","Textile manufacturer","FUCs simple polygon edits needed"
"399",399,9500022,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"unidentifiable","unidentifiable","FUCs simple polygon edits needed"
"400",400,9500023,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"unidentifiable","unidentifiable","FUCs simple polygon edits needed"
"401",401,9500024,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"unidentifiable","unidentifiable","FUCs simple polygon edits needed"
"402",402,9500025,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"403",403,9500026,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"404",404,9500027,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"405",405,9500028,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"Theatrical Metal Worker/Fabricator","Theatrical Metal Worker/Fabricator","FUCs simple polygon edits needed"
"406",406,9500029,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"407",407,9500030,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"408",408,9500031,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"409",409,9500032,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"410",410,9500033,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"411",411,9500034,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"412",412,9500035,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"413",413,9500036,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think",NA,NA,NA,"vacant","vacant","FUCs simple polygon edits needed"
"414",414,9500008,NA,NA,NA,NA,NA,258,"Check extent of arch industrial and adjoining yards etc. More extensive than drawn, I think","NO FUC IN M","Identify if more surveys required or just redrawing of poorly drawn polygons. Do whatever needs to be done.",NA,NA,NA,"FUCs queries"
"415",415,1812,NA,NA,NA,NA,NA,259,"Yards are also industrial, part off Steel Solutions I think",NA,NA,NA,"Steel Fabrication","Steel Fabrication","FUCs simple polygon edits needed"
"416",416,1816,NA,NA,NA,NA,NA,259,"Yards are also industrial, part off Steel Solutions I think",NA,NA,NA,"Car repair","Car repair","FUCs simple polygon edits needed"
"417",417,1798,NA,NA,NA,NA,NA,260,"I think industrial departed from here in 2015","confirmed with full survey or verbal check",NA,NA,"Motor cycle sale, servicing","Motor cycle sale, servicing","FUCs descriptions checked"
"418",418,1800,NA,NA,NA,NA,NA,260,"I think industrial departed from here in 2015",NA,NA,NA,"Pub","Pub","FUCs descriptions checked"
"419",419,1804,NA,NA,NA,NA,NA,260,"I think industrial departed from here in 2015",NA,NA,NA,"unidentifiable","unidentifiable","FUCs descriptions checked"
"420",420,1805,NA,NA,NA,NA,NA,261,"These frontage building all retail, and pub",NA,NA,NA,"Architecture","Architecture","FUCs descriptions checked"
"421",421,1807,NA,NA,NA,NA,NA,261,"These frontage building all retail, and pub",NA,NA,NA,"Restaurant","Restaurant","FUCs descriptions checked"
"422",422,1811,NA,NA,NA,NA,NA,261,"These frontage building all retail, and pub",NA,NA,NA,"Grocery store","Grocery store","FUCs descriptions checked"
"423",423,1815,NA,NA,NA,NA,NA,261,"These frontage building all retail, and pub",NA,NA,NA,"Bank","Bank","FUCs descriptions checked"
"424",424,NA,NA,51.492324,-0.064517,"96",NA,262,"Dunns Bakery (wholesale, same business as The Bakehouse) To check location Answer: NO evidence of bakery here from maps; other high street shops","DESKTOP OR on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"425",425,NA,NA,51.491939,-0.061982,"95",NA,263,"Don’t know what this is. To check","on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"426",426,NA,NA,51.491918,-0.061756,"115",NA,264,"J Walton Auto Repairs.","on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"427",427,1758,NA,NA,NA,NA,NA,265,"Small builders yard.","confirmed with full survey or verbal check",NA,NA,"residential","residential","FUCs descriptions checked"
"428",428,1763,NA,NA,NA,NA,NA,266,"Are we sure this is straight residential. To check.",NA,"Check with surveyor. If not conclusive, desktop (first) then on site survey (if desktop unsuccessful) to check info",NA,"Residential","Unsure - was unable to access","FUCs queries"
"429",429,10100002,NA,NA,NA,NA,NA,267,"I thought this was Jozef’s Cycle Repairs. Has that gone?
Answer: Business name noted but described as vacant",NA,NA,NA,"Vacant","Vacant","FUCs descriptions checked"
"430",430,23900001,NA,NA,NA,NA,NA,268,"Made sure to include yard.",NA,NA,NA,"Timber Merchant","Timber Merchant","FUCs simple polygon edits needed"
"431",431,1030001,NA,NA,NA,NA,NA,269,"Peckham Levels. Yers, there are a small number of ultra-light industrial uses, but it would be very odd to show the whole building as industrial. Better to figure out where those businesses are on the floor plan and map.","Have other relevant businesses from PL been captured?",NA,"confirmed online","Interior design","Interior design","FUCs simple polygon edits needed"
"432",432,NA,NA,51.470609,-0.06369,"103",NA,271,"Peckham Pallets and Cases. Yard, and to check whether they are in any railway arch space, or perhaps there it’s all embankment","on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"433",433,1826,NA,NA,NA,NA,NA,272,"Vacant industrial includes the yard.",NA,NA,NA,"Vacant","Vacant industrial","FUCs simple polygon edits needed"
"434",434,NA,NA,51.470252,-0.066919,"103","104",273,"To check for arches and their industrial use across this area.","on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"435",435,NA,NA,51.469838,-0.066417,"104",NA,274,"Is this now all the industrial businesses in Copeland / Busey. Looks convincing, but worth checking.","check with surveyor of sheet 104 and if they have thoroughly checked, then no action required - otherwise new survey",NA,NA,NA,NA,"lat/long new FUC required"
"436",436,NA,NA,51.470001,-0.065033,"104",NA,275,"Hand car wash use","DESKTOP OR on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"437",437,NA,NA,51.470109,-0.064782,"104",NA,276,"Mani Caterers.","DESKTOP OR on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"438",438,NA,NA,51.47016,-0.064113,"103","104",277,"A haulage business, I think.","DESKTOP OR on site survey",NA,NA,NA,NA,"lat/long new FUC required"
"439",439,1810,NA,NA,NA,NA,NA,278,"Industrial use extends into railway arches, more extensive than mapped.",NA,NA,NA,"Metal fabrication","Metal fabrication","FUCs simple polygon edits needed"
"440",440,1840,NA,NA,NA,NA,NA,278,"Industrial use extends into railway arches, more extensive than mapped.",NA,NA,NA,"Vacant","Vacant","FUCs simple polygon edits needed"
"441",441,1844,NA,NA,NA,NA,NA,278,"Industrial use extends into railway arches, more extensive than mapped.",NA,NA,NA,"Vacant","Vacant","FUCs simple polygon edits needed"
