"","3_Functional_Unit_Co","5_11_Name_of_organis","Description_of_","Class1"
"943",79000029,NA,"vacant","vacant"
"944",79000028,NA,"vacant","vacant"
"945",79000027,NA,"vacant","vacant"
"946",1076,"Pasha Hotel","Hotel + restaurant","Hotel + restaurant"
"947",79000026,"Synergy Hotels LLP","Consultancy","Consultancy"
"948",79000025,"Adshead Ratclife and Co","Collection and delivery service for Arbo sealants products","Collection and delivery service for Arbo sealants products"
"949",79000024,"Lockseal Sealant Solutions","Adhesive supplier","Adhesive supplier"
"950",79000023,"Robert Ward","unidentifiable","unidentifiable"
"951",79000022,"Kleen it up","vacant","vacant"
"952",79000021,"John's Company","vacant","vacant"
"953",79000020,"Thames Digital Reprographics","vacant","vacant"
"954",79000019,"Daisy Green Food","vegetable delivery service","vegetable delivery service"
"955",79000018,"Self Storage","Storage units","Storage units"
"956",1073,NA,"residential","residential"
"957",79000017,NA,"vacant","vacant"
"958",79000016,NA,"vacant","vacant"
"959",79000015,"Spirit of London","Retail","Retail"
"960",79000014,"Moor Beer Co Vaults and Tap Room","Bar, brewery","Bar, brewery"
"961",79000013,"London Calling Sweeden","Craft beer wholesale, tap room","Craft beer wholesale, tap room"
"962",79000012,"BBNo","Tap room, shop, brewery","Tap room, shop, brewery"
"963",1087,"MJ Beauty Lounge","Hair and beauty salon","Hair and beauty salon"
"964",79000011,"Boels Rental","Tools and equipment rental","Tools and equipment rental"
"965",1096,"Power church international","Religious","Religious"
"966",79000010,"Simpson Malt","vacant","vacant"
"967",7900009,"Paraiso Samba","Charity","Charity"
"968",7900008,"Foodstars","vacant","vacant"
"969",1061,"Iceland","Frozen food sales","Frozen food sales"
"970",7900007,"Bianca Road","Brewery","Brewery"
"971",7900006,"Yourselection LTD","Alcohol wholesale","Alcohol wholesale"
"972",2400004,NA,"vacant","vacant"
"973",7900005,NA,"vacant","vacant"
"974",7900004,"Smith and Sinclair","Alcohol supplier / Event managment","Alcohol supplier / Event managment"
"975",7900003,"Spice Mountain","Restaurant / unit used as a storage and head office","Restaurant / unit used as a storage and head office"
"976",7900002,NA,"vacant","vacant"
"977",7900001,NA,"vacant","vacant"
"978",1644,NA,"vacant","vacant"
"979",1641,NA,"vacant","vacant"
"980",1639,NA,"vacant","vacant"
"981",1637,NA,"vacant","vacant"
"982",1635,NA,"vacant","vacant"
"983",1629,NA,"vacant","vacant"
"984",1624,NA,"vacant","vacant"
"985",1618,NA,"vacant","vacant"
"986",1636,NA,"vacant","vacant"
"987",1623,NA,"vacant","vacant"
"988",1612,NA,"vacant","vacant"
"989",6100014,"Storage Unit","Unidentifiable","unidentifiable"
"990",6100013,"Storage Unit","Unidentifiable","unidentifiable"
"991",6100012,"Storage Unit","Unidentifiable","unidentifiable"
"992",6100011,"Mercedes Ben’s Servicing&Parts","Car Mechanic","Vehicle repair"
"993",6100010,"Storage Unit","Unidentifiable","unidentifiable"
"994",6100009,"Storage Unit","Unidentifiable","unidentifiable"
"995",6100008,"Storage Unit","Vacant","vacant"
"996",6100007,"Storage Unit","Unidentifiable","unidentifiable"
"997",6100006,"Storage Unit","Derelict","derelict"
"998",6100005,"Storage Unit","Unidentifiable","unidentifiable"
"999",6100004,"Tower Porsche Specialists","Car mechanic","Vehicle repair"
"1000",6100003,"Lucky Motors","Car Mechanic","Vehicle repair"
"1001",6100002,"Storage Unit","Vacant","vacant"
"1002",1978,NA,"residential","residential"
"1003",6000002,"Storage Unit","Unidentifiable","unidentifiable"
"1004",6000001,"Hand Car Wash&Valeting Centre","Car Wash","Car wash"
"1005",6000005,"Storage Unit","Unidentifiable","unidentifiable"
"1006",6000004,"Storage Unit","Unidentifiable","unidentifiable"
"1007",6000003,"Bermondsey Scrap Metals (South)","Scrap metal point","Scrap metal point"
"1008",279,"Robert Guy","packing/storage/distribution","packing/storage/distribution"
"1009",11500001,NA,"vacant","vacant"
"1010",9500009,"Veolia","Waste management","Waste management"
"1011",18380015,"Sampson Associates","Architectural Practice","Architecture practice"
"1012",18380014,"E.L.F.Zhou London ltd","Design innerwear and accessories","Design innerwear and accessories"
"1013",18380013,"HUM Studio","unidentifiable","unidentifiable"
"1014",18380012,"Front Line Genomics","Genomics","Genomics"
"1015",18380011,"Tin Meeting Room","Meeting room owned by Workspace","Meeting room owned by Workspace"
"1016",1758,NA,"residential","residential"
"1017",8000001,"R.M.Pullen Motor Factor","Car parts sales","Car parts sales"
"1018",1653,"BT Openreach","Telephone exchange","Telephone exchange"
"1019",1415,"Dignity Funerals Ltd","Funeral service","Funeral service"
"1020",1590,"Grosvenor","Privately owned property businesses","Privately owned property businesses"
"1021",1585,NA,"residential","residential"
"1022",1591,NA,"residential","residential"
"1023",1581,NA,"residential","residential"
"1024",1583,NA,"residential","residential"
"1025",1572,"Studio Ilse","Design Studio","Design Studio"
"1026",1587,NA,"residential","residential"
"1027",1586,NA,"residential","residential"
"1028",1582,NA,"residential","residential"
"1029",78000013,"Anspach & Hobday","Brewery and bar","Brewery and bar"
"1030",78000012,NA,"vacant","vacant"
"1031",1698,NA,"Residential","residential"
"1032",1696,NA,"Residential","residential"
"1033",78000011,NA,"vacant","vacant"
"1034",1693,NA,"Residential","residential"
"1035",1691,NA,"Residential","residential"
"1036",1686,NA,"Residential","residential"
"1037",1684,NA,"Residential","residential"
"1038",78000010,NA,"vacant","vacant"
"1039",1703,NA,"Residential","residential"
"1040",1701,NA,"Residential","residential"
"1041",1697,NA,"Residential","residential"
"1042",7800009,NA,"vacant","vacant"
"1043",1695,NA,"Residential","residential"
"1044",1692,NA,"Residential","residential"
"1045",7800008,"The Bottle Shop","vacant","vacant"
"1046",1522,"Kagyu Samye Dzong London","Tibetan Buddhist centre","Tibetan Buddhist centre"
"1047",7800007,"London City Runners","Running club (Meeting point)","Running club (Meeting point)"
"1048",1563,NA,"Residential","residential"
"1049",1631,NA,"Residential","residential"
"1050",1622,NA,"Derelict","derelict"
"1051",1561,NA,"Residential","residential"
"1052",1564,NA,"Residential","residential"
"1053",1588,NA,"Development","development"
"1054",7800006,NA,"vacant","vacant"
"1055",7800005,"L'emporio","Italian food supplier","Italian food supplier"
"1056",1531,"Alltype roofing supplies","Roofing Suppliers","Roofing Suppliers"
"1057",1524,"ESPH","Fitness Gym","Fitness Gym"
"1058",1521,"Dulwich Picturehouse","Cinema","Cinema"
"1059",1510,"West Leigh","vacant","vacant"
"1060",1511,"Mission Bubble Studios","Photography Studio","Photography studio"
"1061",1501,"Mrs Robisons","Shop Storage unit","Shop Storage unit"
"1062",15070001,"Sixninethree","Furniture Design and Make","Furniture Design and Make"
"1063",1468,NA,"Derelict","derelict"
"1064",7800004,NA,"vacant","vacant"
"1065",1496,"Oyez Starker","vacant","vacant"
"1066",1528,NA,"Non industrial","Non industrial"
"1067",1527,"Brick house Bakery","Bakery","Bakery"
"1068",7800003,NA,"vacant","vacant"
"1069",1418,NA,"Derelict","derelict"
"1070",1416,NA,"Vacant","vacant"
"1071",7800002,NA,"vacant","vacant"
"1072",1409,"Jewson","Builders Merchant","Builders Merchant"
"1073",7800001,NA,"vacant","vacant"
"1074",1560,"Beormund Community Centre","Community Centre","Community Centre"
"1075",2062,NA,"Unidentifiable","unidentifiable"
"1076",2063,NA,"Residential","residential"
"1077",2037,NA,"Residential","residential"
"1078",14980001,"Dry Cleaners","Commercial dry cleaning","Commercial dry cleaning"
"1079",2023,"Thames Water","Honour Oak Treatment Works","Honour Oak Treatment Works"
"1080",1873,"French Cafe Bistrot","Cafe","Cafe"
"1081",1865,"Blossoms Montessori","Pre school","Pre school"
"1082",14980002,"Goldfinch","Custom made furniture","Custom made furniture"
"1083",97300001,"Pedal me","Bicycle passenger/cargo transport","Bicycle passenger/cargo transport"
"1084",973,"Sustainable Bankside","Provide flexible co-working / office / workshop space","Provide flexible co-working / office / workshop space"
"1085",18560001,"Rico group","Logistics","Logistics"
"1086",1625,NA,"residential","residential"
"1087",1615,NA,"residential","residential"
"1088",1610,NA,"residential","residential"
"1089",18380010,"Lara Chamandi","Textile manufacturer, apparels","Textile manufacturer, apparels"
"1090",18380009,"Paper Cavalier","Buying and selling of print books","Buying and selling of print books"
"1091",18380008,"I Heart Studios","Digital content creation","Digital content creation"
"1092",18380007,"Wild Ones","Event Services","Event Services"
"1093",18380006,"Equal Productions","Media production","Media production"
"1094",18380005,"Materialize X","Create organic chemicals","Create organic chemicals"
"1095",18380004,"MCCE","Consulting Engineers","Consulting Engineers"
"1096",18380003,"Mariana Jungmann","Fashion Designer","Fashion Designer"
"1097",18380002,"Gelati London","Ice cream selling","Ice cream selling"
"1098",17870902,NA,"vacant","vacant"
"1099",17870901,"Entrepreneur First","Start up company service","Start up company service"
"1100",18420046,"Finderin","IT service","IT service"
"1101",18420045,"Berkeley Accountants Ltd","Accounting","Accounting"
"1102",18420044,"Les Animaux","Retail women wear","Retail women wear"
"1103",18420043,"Bespoke Systems Ltd","IT support","IT support"
"1104",18420042,"Bermondsey Electronics ltd","Software development","Software development"
"1105",18420041,"Total Onion Ltd","IT activities","IT activities"
"1106",18420040,"Smart Lingual","IT service","IT service"
"1107",18420039,"Thaddeus Hughes Strassberger","Theatre Production","Theatre Production"
"1108",18420038,"Enterprise Payment Solution","Software services and consultancy","Software services and consultancy"
"1109",18420037,"Homewood Rail ltd","Train staff for rail services","Train staff for rail services"
"1110",18420036,"Fast Trak","Courier service","Courier service"
"1111",18420035,"CODA Mastering","Recording Studio","Recording Studio"
"1112",18420034,"RBH Contracting Ltd","Electrical installation","Electrical installation"
"1113",18420033,"Michael Shelford","Photography","Photography studio"
"1114",17870217,NA,"unidentified","unidentifiable"
"1115",17870216,"EUC London Limited","Fashion Designer","Fashion Designer"
"1116",17870215,NA,"unidentified","unidentifiable"
"1117",1605,NA,"residential","residential"
"1118",1606,NA,"residential","residential"
"1119",1555,"Shad Thames Pumping station","Infrastructure/Engineering service","Infrastructure/Engineering service"
"1120",2065,"John Macnamara & Co Ltd","Plant hire","Plant hire"
"1121",4700002,NA,"vacant","vacant"
"1122",4700001,"Tiff Hunter studios","Photography","Photography studio"
"1123",12780007,NA,"residential","residential"
"1124",12780006,NA,"vacant","vacant"
"1125",12780005,"Involved Productions LTD","Music publisher","Music publisher"
"1126",12780004,NA,"vacant","vacant"
"1127",12860002,NA,"vacant","vacant"
"1128",12860001,NA,"vacant","vacant"
"1129",1281,NA,"vacant","vacant"
"1130",12780003,"Wild Rents Studios","vacant","vacant"
"1131",12780002,"Tif Hunter Studios","vacant","vacant"
"1132",12780001,"PS lab","Lighting Designers","Lighting Designers"
"1133",2109,"Vodaphone (?)","Sub station / data centre","Sub station / data centre"
"1134",1314,NA,"residential","residential"
"1135",1318,"DePaul","Charity for homeless","Charity for homeless"
"1136",1319,NA,"residential","residential"
"1137",1321,NA,"residential","residential"
"1138",17870214,NA,"unidentified","unidentifiable"
"1139",17870212,NA,"Artist","Artist studio"
"1140",17870211,"Apollo 11","Recording Studio","Recording Studio"
"1141",2114,"Tideway Sailability","Sailing club; disabled sailing","Sailing club; disabled sailing"
"1142",4500001,"Glass Blowing","gallery and workshops","gallery and workshops"
"1143",1422,"GT Stewart Solicitors & Advocates","Non industrial","Non industrial"
"1144",1481,"Gibbs & Dandy Timber","Timber Merchant","Timber Merchant"
"1145",1466,NA,"Non Industrial","Non industrial"
"1146",1475,NA,"Residential","residential"
"1147",1473,"Kwik Fit","Vehicle Repairs and Servicing","Vehicle repair"
"1148",1463,NA,"Non industrial","Non industrial"
"1149",1460,NA,"Non industrial","Non industrial"
"1150",1448,NA,"Non industrial","Non industrial"
"1151",1445,NA,"Vacant","vacant"
"1152",1441,NA,"Non industrial","Non industrial"
"1153",1436,NA,"Non industrial","Non industrial"
"1154",1435,"Newsagent","Non industrial","Non industrial"
"1155",1433,"Shaun’s DIY","Retail store","Retail store"
"1156",1432,NA,"unidentifiable","unidentifiable"
"1157",1430,NA,"Residential","residential"
"1158",17870210,"My 3Dtwin","3D scanning technology for figurines","3D scanning technology for figurines"
"1159",17870209,"LSB Studio","Photography","Photography studio"
"1160",17870208,"Cuckoo Bang Studio","Theatre","Theatre"
"1161",17870207,NA,"unidentified","unidentifiable"
"1162",17870205,"MovieLux ltd","Film and Television Production","Film and Television Production"
"1163",17870204,"Agata Di Masternak","Artist","Artist studio"
"1164",17870203,"Daniel Blake","Fashion Design","Fashion Design"
"1165",17870202,NA,"vacant","vacant"
"1166",17870201,NA,"vacant","vacant"
"1167",18410001,"The Bridge Cafe","Coffee shop","Coffee shop"
"1168",1841,"Pure Gym","Gymnasium","Gymnasium"
"1169",18420032,"TT resources","Activities related to performing arts","Activities related to performing arts"
"1170",18420031,"Inner Ape Ltd","Recreational activities","Recreational activities"
"1171",18420030,NA,"vacant","vacant"
"1172",18420029,NA,"vacant","vacant"
"1173",18420028,NA,"vacant","vacant"
"1174",18420027,NA,"vacant","vacant"
"1175",18420025,"Performance Infinity","Performing arts management agency","Performing arts management agency"
"1176",18420024,"Conform architects","Architecture design","Architecture practice"
"1177",18420023,"tro.sh//createdrop","Video production","Video production"
"1178",18420022,NA,"vacant","vacant"
"1179",18420021,NA,"vacant","vacant"
"1180",18420020,NA,"vacant","vacant"
"1181",18420019,"Sphere9","photography","photography"
"1182",18420018,NA,"vacant","vacant"
"1183",18420017,"Unsigned United Ltd","Sound recording and music","Sound recording and music"
"1184",18420016,"Pask London","Architecture design","Architecture practice"
"1185",18420015,"DK Lift Service/Easy Lift Service","Repair, maintenance and installation of lifts","Repair, maintenance and installation of lifts"
"1186",18420014,NA,"vacant","vacant"
"1187",18420013,"Eight Arms Ltd","Design agency branding","Design agency branding"
"1188",18420012,NA,"vacant","vacant"
"1189",18420011,NA,"vacant","vacant"
"1190",18420010,"Visualise","VR agency","VR agency"
"1191",18420009,"Helen Hughes Design Studio","Interior design","Interior design"
"1192",18420008,"Lock’d games","Games","Games"
"1193",18420007,"HP Resources","IT service","IT service"
"1194",18420006,"Hull Studio","Furniture Design","Furniture Design"
"1195",18420005,NA,"vacant","vacant"
"1196",18420004,"Beeline","Bike navigation hardware","Bike navigation hardware"
"1197",18420003,NA,"vacant","vacant"
"1198",18420002,"K2 Screen","Screen printing","Screen printing"
"1199",1842,"London EBS Ltd","Bar tending school","Bar tending school"
"1200",1848,NA,"vacant","vacant"
"1201",17870301,NA,"vacant","vacant"
"1202",2088,NA,"residential","residential"
"1203",2077,NA,"residential","residential"
"1204",2069,"A J Motors","MOT Centre & garage","MOT Centre & garage"
"1205",2083,"Hatcham Autos","residential","residential"
"1206",14700001,"Raceways","Motorcycle sales/repairs","Motorcycle sales/repairs"
"1207",14800001,"Hand car wash (plush)","Car wash","Car wash"
"1208",2058,NA,"residential","residential"
"1209",2057,NA,"residential","residential"
"1210",1765,NA,"Vacant","vacant"
"1211",1732,NA,"Development","development"
"1212",1729,NA,"Development","development"
"1213",1726,NA,"Development","development"
"1214",1724,NA,"Development","development"
"1215",1713,NA,"Development","development"
"1216",1723,NA,"Development","development"
"1217",1398,NA,"Residential","residential"
"1218",1273,"Royal Mail","Delivery Office","Delivery Office"
"1219",1306,"Park Motor Garage","Vacant","vacant"
"1220",1338,"Dulwich Hotel","Hotel","Hotel"
"1221",927,NA,"Storage","Storage"
"1222",905,"Banya","Child","Child"
"1223",897,"Zanettos & Co","Chartered Accountants","Chartered Accountants"
"1224",1856,"Climbing Arch","Climbing/Exercise activity","Climbing/Exercise activity"
"1225",1838,NA,"vacant","vacant"
"1226",867,NA,"Non Industrial","Non industrial"
"1227",1300001,"Canopy Beer Co","Brewery","Brewery"
"1228",865,"James Lyons Coachworks","Vehicle Repair and Service","Vehicle repair"
"1229",1309,NA,"Demolished","demolished"
"1230",1310,NA,"Demolished","demolished"
"1231",1317,NA,"Demolished","demolished"
"1232",17870302,NA,"vacant","vacant"
"1233",17870303,NA,"vacant","vacant"
"1234",17870319,NA,"vacant","vacant"
"1235",17730006,"Blue wave ltd","Digital printers","Digital printers"
"1236",17870318,NA,"vacant","vacant"
"1237",17870311,NA,"vacant","vacant"
"1238",17370314,NA,"vacant","vacant"
"1239",17970313,NA,"vacant","vacant"
"1240",17870312,"Glitch Production","Comedy content for Broadcast","Comedy content for Broadcast"
"1241",998,"Croxted Motors","Vehicle Repairs and Servicing","Vehicle repair"
"1242",940,"Body tech","Vehicle Repairs","Vehicle repair"
"1243",1769,"Mr Bao","Food storage and cooking","Food storage and cooking"
"1244",890,NA,"Residential","residential"
"1245",17870310,NA,"vacant","vacant"
"1246",17870309,NA,"vacant","vacant"
"1247",17730005,"Patin Limiters","Industrial cleaning company","Industrial cleaning company"
"1248",17870308,NA,"vacant","vacant"
"1249",17870307,"Carlota Barrera","Men’s clothing, Fashion Designers","Men’s clothing, Fashion Designers"
"1250",880,"F&E Ltd","Purpose Made Joinery","Purpose Made Joinery"
"1251",17870306,NA,"vacant","vacant"
"1252",17870305,NA,"vacant","vacant"
"1253",1300002,"Herne Hill Motors","Vehicle Repairs and Servicing","Vehicle repair"
"1254",17870304,"Please Connect Me","Web services","Web services"
"1255",9500007,NA,"vacant","vacant"
"1256",9500006,NA,"vacant","vacant"
"1257",9500003,NA,"vacant","vacant"
"1258",1609,"Columbia Metals Ltd","vacant","vacant"
"1259",1603,"Columbia Metals Ltd","Vacant","vacant"
"1260",1589,NA,"Residential","residential"
"1261",1575,NA,"Residential","residential"
"1262",1576,NA,"Residential","residential"
"1263",1578,"D. Peacock & Sons Of Peckham","Vehicle repair","Vehicle repair"
"1264",1580,NA,"Residential","residential"
"1265",1662,"Thomas Carlton","Adult education","Adult learning centre"
"1266",1670,"Thomas Carlton Centre","Adult education centre","Adult learning centre"
"1267",1673,"Thomas Carlton","Adult learning centre","Adult learning centre"
"1268",1669,"Thomas Carlton","Adult Learning Centre","Adult learning centre"
"1269",1667,"Thomas Carlton Centre","Adult learning centre","Adult learning centre"
"1270",1658,"Southwark Vietnamese-Chinese Refugee Community","Charity","Charity"
"1271",17730004,"Tadberry Evedale & Plu5ive","Printing, binding, digital","Printing, binding, digital"
"1272",17730002,"Godex conservation","Book conservator","Book conservator"
"1273",17730001,"The Framing Room","Framers","Framers"
"1274",2000009,"A. Bliss","Picture framing & mounting","Picture framing & mounting"
"1275",2000008,"Renamotors","Vehicle repair","Vehicle repair"
"1276",9500002,"The French Comté","Wholesale and retail of cheese, charcuterie and wine. Catering","Wholesale and retail of cheese, charcuterie and wine. Catering"
"1277",2000007,"Flints","Creative industries","Creative industries"
"1278",9500001,"O’Shea’s","Butchers- Wholesale of meat","Butchers- Wholesale of meat"
"1279",124,"Cannon and Cannon British Charcuterie","Retail and distributor of cured meat and charcuterie","Retail and distributor of cured meat and charcuterie"
"1280",1707,"The Studio","Artists studios","Artist studio"
"1281",17870001,"Art Number 23","Curating Exhibition","Curating Exhibition"
"1282",17870034,"Courtyard London","Bespoke Metal Fabrication","Bespoke Metal Fabrication"
"1283",17870033,NA,"vacant","vacant"
"1284",17870032,NA,"vacant","vacant"
"1285",17870031,"Nam Tran","Pottery classes","Pottery classes"
"1286",17870030,"The Mono Box","Training for acting","Training for acting"
"1287",17870029,NA,"vacant","vacant"
"1288",17870028,NA,"vacant","vacant"
"1289",17870027,NA,"vacant","vacant"
"1290",17870026,"Kodiri","Coding and computer training","Coding and computer training"
"1291",178700025,NA,"vacant","vacant"
"1292",17870024,NA,"Artist Studio","Artist studio"
"1293",17870023,NA,"vacant","vacant"
"1294",17870022,NA,"Artist","Artist studio"
"1295",1704,"N/A","Art storage facility","Art storage facility"
"1296",17870021,NA,"vacant","vacant"
"1297",17870020,"Bernard Rangel","Artist","Artist studio"
"1298",17870019,NA,"vacant","vacant"
"1299",17870018,"Dani Tagen","Artist","Artist studio"
"1300",17870017,"Tom White","Artist","Artist studio"
"1301",17870016,"Exotica","Pole Dance Studio","Pole Dance Studio"
"1302",17870015,"Rodotto Villaplana","Artist","Artist studio"
"1303",17870014,"Andrew Gadd","Artist","Artist studio"
"1304",17870013,"Kira Romano","Artist","Artist studio"
"1305",17870012,"Lauren Goldie","Sculptor","Sculptor"
"1306",17870011,"Cheryl Papsian","Artist","Artist studio"
"1307",10500001,"Arien Contractors Ltd.","Building and maintenance company","Building and maintenance company"
"1308",17870010,NA,"vacant","vacant"
"1309",17970009,NA,"vacant","vacant"
"1310",17870008,NA,"vacant","vacant"
"1311",17870007,"Draw A Nude","Artists","Artist studio"
"1312",17870006,"Cherry Williams","Wedding dress designer","Wedding dress designer"
"1313",17870005,"Made with Love","Bridal dresses","Bridal dresses"
"1314",17870003,"Matthew Pettit","Artist, Illustrator","Artist studio"
"1315",17870002,"Studio Max","Architecture Practice","Architecture Practice"
"1316",1153,NA,"demolished","demolished"
"1317",14500001,"João Abbott-Gribben","Artist","Artist studio"
"1318",14840001,"Traeger-Cowling","Picture framing","Picture framing"
"1319",1474,NA,"derelict","derelict"
"1320",1482,"South London Gallery (The Fire Station)","Contemporary art gallery","Contemporary art gallery"
"1321",1471,"Peckham Fire Station","Fire station","Fire station"
"1322",1450,NA,"residential","residential"
"1323",1452,NA,"residential","residential"
"1324",1455,NA,"residential","residential"
"1325",1446,NA,"residential","residential"
"1326",1443,NA,"residential","residential"
"1327",1442,NA,"residential","residential"
"1328",1440,NA,"residential","residential"
"1329",1439,NA,"residential","residential"
"1330",13760002,"MarmaladeJam Gardening Ltd","Gardening and landscaping (garden design, build and maintenance)","Gardening and landscaping (garden design, build and maintenance)"
"1331",13800003,"Philippa George / The Collection","Fine art textiles","Fine art textiles"
"1332",13800002,"36 Bourne Street Ltd","Leather, textiles, wallpaper and trimmings","Leather, textiles, wallpaper and trimmings"
"1333",13800001,"Christopher Matthews / The Collection","Fine art ceramics","Fine art"
"1334",1275,"Bestway International Christian Centre (BICC)","Pentecostal church","Pentecostal church"
"1335",1269,NA,"vacant","vacant"
"1336",1267,"Spéos Photo","Photo and video school","Photo and video school"
"1337",1263,"Decor Arts","Fine applied & gilded decoration (specialist gilders and painters for trade, particularly the furniture trade).","Fine applied & gilded decoration (specialist gilders and painters for trade, particularly the furniture trade)."
"1338",12620002,NA,"residential","residential"
"1339",12620001,NA,"residential","residential"
"1340",1258,NA,"residential","residential"
"1341",711,"Ocontinental Hand Car Wash","Hand carwash","Hand carwash"
"1342",1247,"AVS","Hand carwash and valeting service, service and repairs","Hand carwash and valeting service, service and repairs"
"1343",1240,NA,"storage and yard","storage and yard"
"1344",1242,"The Yard Cafe","Cafe, snack bar, burgers","Cafe, snack bar, burgers"
"1345",1238,"Steptoes & Sons","Second-hand emporium / reclamation centre","Second-hand emporium / reclamation centre"
"1346",1235,"Crisis","Charity for homelessness","Charity for homelessness"
"1347",1232,"EMS Events","Audio visual hire and event production","Audio visual hire and event production"
"1348",206,NA,"vacant","vacant"
"1349",8290002,"Simon Page-Ritchie Studios","Photography studio","Photography studio"
"1350",830,NA,"demolished","demolished"
"1351",1351,NA,"demolished / vacant","demolished"
"1352",1352,NA,"vacant","vacant"
"1353",9600008,"Studio-Jafri","Artist","Artist studio"
"1354",9600007,"Passion 4 Tyres","Car repair","Vehicle repair"
"1355",9600006,"Mick’s Garage","Car repairs","Vehicle repair"
"1356",1337,"Shiva Building","unidentifiable","unidentifiable"
"1357",1341,"Laxmi The Tanneries","unidentifiable","unidentifiable"
"1358",1340,"Workplace creations","Design and build project managment company","Design and build project managment company"
"1359",134700010,"Together","unidentifiable","unidentifiable"
"1360",13470009,"Lexis","Public relations agency","Public relations agency"
"1361",13470008,"One Pulse","Market research agency","Market research agency"
"1362",13470007,"Next 15","Communications group","Communications group"
"1363",13470006,"Savanta","Communications group","Communications group"
"1364",13470005,"Encore","Digital media agency","Digital media agency"
"1365",13470004,"Brand Width","Marketing agency","Marketing agency"
"1366",13470003,"Bite","Public Relations firm","Public Relations firm"
"1367",13470002,"Beyond","Design company","Design company"
"1368",13470001,"Agent 3","Marketing Agency","Marketing Agency"
"1369",1830,NA,"unidentified","unidentifiable"
"1370",1829,NA,"development","development"
"1371",13440005,NA,"unidentified","unidentifiable"
"1372",1831,NA,"development","development"
"1373",13440004,NA,"unidentified","unidentifiable"
"1374",13440003,NA,"unidentified","unidentifiable"
"1375",13440002,NA,"unidentified","unidentifiable"
"1376",13440001,NA,"unidentified","unidentifiable"
"1377",13330002,"Architecture office","Architecture","Architecture practice"
"1378",1805,"Blue Anchor","Pub","Pub"
"1379",1322,NA,"vacant","vacant"
"1380",1807,"Wimpy","Restaurant","Restaurant"
"1381",1811,NA,"Grocery store","Grocery store"
"1382",1815,"TSB","Bank","Bank"
"1383",1812,"Steel Solutions London Ltd","Steel Fabrication","Steel Fabrication"
"1384",1816,NA,"Car repair","Vehicle repair"
"1385",1348,NA,"demolished","demolished"
"1386",1800,"Blue Anchor Fish and Chips","Pub","Pub"
"1387",1804,NA,"unidentifiable","unidentifiable"
"1388",1798,"South Motor Cycles","Motor cycle sale, servicing","Motor cycle sale, servicing"
"1389",13260004,NA,"vacant","vacant"
"1390",13260003,NA,"vacant","vacant"
"1391",13260002,NA,"vacant","vacant"
"1392",13260001,NA,"vacant","vacant"
"1393",13150009,NA,"unidentified","unidentifiable"
"1394",13150008,"Temple Group","Environmental consultant","Environmental consultant"
"1395",13150007,"Mentzendorff","Wine supplier","Wine supplier"
"1396",13150006,"Craftworks Architects","Architectural Practice","Architecture practice"
"1397",13150005,"ECS Design","IT service","IT service"
"1398",13150004,"Bancrof Wines","wine wholesale and import","wine wholesale and import"
"1399",13150003,"First Port","Property Management","Property Management"
"1400",13150002,"Opus","Trust","Trust"
"1401",9500004,"Maltby&Greek","Import Greek food","Import Greek food"
"1402",13390002,"The Stage","Media Company","Media Company"
"1403",13390001,"NEOS","Insurance Company","Insurance Company"
"1404",9500005,"Wild Room","Wild and forest fruits, Mainly mushrooms","Wild and forest fruits, Mainly mushrooms"
"1405",1166,"Kwik Fit","Car mechanic","Vehicle repair"
"1406",1237,NA,"residential","residential"
"1407",1241,NA,"residential","residential"
"1408",11860002,"Full Circle","Event supplier","Event supplier"
"1409",11860001,"Volt","Electric bicycle retailer","Electric bicycle retailer"
"1410",1193,NA,"vacant","vacant"
"1411",1195,"The Libertarian","Letting agent","Letting agent"
"1412",1205,"Alan's Gents Hairdressers","Hairdressers","Hairdressers"
"1413",1206,"The Art Academy","Art school","Art school"
"1414",12080008,"'Delicious' and 'Healthy Food Guid' (magazines)","Magazines","Magazines"
"1415",12080007,"eye2eye Media","Publisher","Publisher"
"1416",12080006,"Eurostaff Group","Recruitment","Recruitment"
"1417",12080005,"Gan","Internet gaming software","Internet gaming software"
"1418",12080004,"Shard Media Group","Financial services","Financial services"
"1419",12080003,"First Protocol Event Management","Event management","Event management"
"1420",12080002,"Anzuk Education","Recruitment for education sector","Recruitment for education sector"
"1421",12080001,"Clive","Events agency","Events agency"
"1422",1210,NA,"development","development"
"1423",12120003,"CCP Creative Career Partnership","Recruitment agency (advertising, design)","Recruitment agency (advertising, design)"
"1424",12120002,"MHM Grax","Advertising agency","Advertising agency"
"1425",12120001,"The Russia House","Visa consultants","Visa consultants"
"1426",3200001,"King's College London / Guy's Hospital","unidentified","unidentifiable"
"1427",1226,"(Possibly) King's College London and Guy's Hospital","unidentified","unidentifiable"
"1428",1225,"(Possibly) King's College London and Guy's Hospital","unidentified","unidentifiable"
"1429",1219,NA,"development","development"
"1430",1203,"C G Hacking and Son","Nut importers","Nut importers"
"1431",1185,"The Honourable Company of Air Pilots","Guild of air pilots and navigators","Guild of air pilots and navigators"
"1432",1180,"No.2 Calverts Building","residential","residential"
"1433",1188,"British Guild of Tourist Guides","Guild for tourist guides","Guild for tourist guides"
"1434",1194,"Santander","Bank","Bank"
"1435",11810003,"The Industry Club","Recruitment","Recruitment"
